smNRPS-CC	89.97446808510638	2.3785938522382817	CSM5FZ3N
smNRPS-CB	60.773759461732546	0.6111525835650085	CSM5FZ3N
smNRPS-CC	91.45531914893617	1.475125187613804	CSM5FZ3R
smNRPS-CB	54.802354920100925	0.3214823510055123	CSM5FZ3R
smNRPS-CC	92.3063829787234	2.2978134488184936	CSM5FZ3T
smNRPS-CB	95.59293523969723	4.523705363214297	CSM5FZ3T
smNRPS-CC	38.91063829787234	0.19154354134585305	CSM5FZ3V
smNRPS-CB	28.46089150546678	0.12789742747788133	CSM5FZ3V
smNRPS-CC	42.331914893617025	0.4018846675455741	CSM5FZ3X
smNRPS-CB	94.55004205214466	2.4491079228404593	CSM5FZ3X
smNRPS-CC	88.42553191489361	2.6666592351628293	CSM5FZ3Z
smNRPS-CB	97.07317073170731	5.848351957392668	CSM5FZ3Z
smNRPS-CC	99.30212765957447	4.338904306089641	CSM5FZ42
smNRPS-CB	96.98906644238856	10.363587589084062	CSM5FZ42
smNRPS-CC	84.81702127659575	1.1072820648129025	CSM5FZ44
smNRPS-CB	96.0470984020185	3.762069870280519	CSM5FZ44
smNRPS-CC	68.69787234042553	0.6124769837388383	CSM5FZ46
smNRPS-CB	94.85281749369217	2.5025392705088962	CSM5FZ46
smNRPS-CC	4.748936170212766	0.017870939075844285	CSM5FZ4A
smNRPS-CB	29.41968040370059	0.1766051590758371	CSM5FZ4A
smNRPS-CC	22.893617021276597	0.12793399746171183	CSM5FZ4C
smNRPS-CB	9.941126997476871	0.048162905047863	CSM5FZ4C
smNRPS-CC	12.61276595744681	0.03991111648682808	CSM5FZ4E
smNRPS-CC	23.200000000000003	0.08586454183934007	CSM5FZ4G
smNRPS-CB	10.950378469301935	0.02474894367215349	CSM5FZ4G
smNRPS-CC	4.748936170212766	0.020974538789752282	CSM5FZ4K
smNRPS-CB	8.359966358284272	0.041455143949468344	CSM5FZ4K
smNRPS-CC	62.26382978723404	0.2998243161851482	CSM5LLGB
smNRPS-CB	49.78973927670311	0.22685009730287936	CSM5LLGB
smNRPS-CB	1.9175777964676197	0.019175778127670313	CSM5MCTZ
smNRPS-CC	17.429787234042553	0.30926130461155443	CSM5MCU4
smNRPS-CB	96.56854499579478	4.403190069629824	CSM5MCU4
smNRPS-CC	45.787234042553195	0.2566421082069239	CSM5MCU8
smNRPS-CB	67.83851976450799	0.5528921448040669	CSM5MCU8
smNRPS-CC	4.425531914893617	0.01905162440216404	CSM5MCUA
smNRPS-CB	27.821698906644237	0.11767061959915238	CSM5MCUA
smNRPS-CC	52.56170212765957	0.2746969931268543	CSM5MCUC
smNRPS-CB	76.55172413793103	0.5172462020809173	CSM5MCUC
smNRPS-CC	14.995744680851065	0.06998182485876941	CSM5MCUE
smNRPS-CB	44.08746846089151	0.24471227493151881	CSM5MCUE
smNRPS-CB	7.36753574432296	0.021809735379394127	CSM5MCUG
smNRPS-CC	1.4978723404255319	0.0036795580891945934	CSM5MCUK
smNRPS-CB	1.4465937762825904	0.0036362327626607623	CSM5MCUK
smNRPS-CC	15.097872340425534	0.06636321973835936	CSM5MCUQ
smNRPS-CB	65.82001682085786	0.39786303731561945	CSM5MCUQ
smNRPS-CB	25.399495374264085	0.16141805674001605	CSM5MCUS
smNRPS-CC	20.919148936170213	0.10862758675777577	CSM5MCUW
smNRPS-CB	67.30025231286795	0.5367427015996068	CSM5MCUW
smNRPS-CC	10.672340425531916	0.03007184630666152	CSM5MCUY
smNRPS-CB	22.657695542472666	0.0780091261161557	CSM5MCUY
smNRPS-CC	6.706382978723405	0.03206651814390736	CSM5MCV1
smNRPS-CB	21.042893187552565	0.1584447385159426	CSM5MCV1
smNRPS-CB	3.397813288477712	0.035641797991979626	CSM5MCV5
smNRPS-CC	65.37872340425533	0.5784247538190602	CSM5MCVD
smNRPS-CB	87.63666947014298	0.9225058163128638	CSM5MCVD
smNRPS-CC	72.85106382978724	0.534185451576855	CSM5MCVF
smNRPS-CB	62.53994953742641	0.4425791656262608	CSM5MCVF
smNRPS-CC	74.75744680851064	0.8229158200019878	CSM5MCVJ
smNRPS-CB	96.45079899074854	5.97226521260248	CSM5MCVJ
smNRPS-CC	96.74893617021276	4.284602417177887	CSM5MCVV
smNRPS-CB	62.82590412111018	0.5746350412321057	CSM5MCVV
smNRPS-CC	15.319148936170212	0.18653782741991218	CSM5MCVZ
smNRPS-CB	90.98402018502944	1.871344708264213	CSM5MCVZ
smNRPS-CC	6.706382978723405	0.03978772571937377	CSM5MCW4
smNRPS-CB	64.54163162321278	0.7077463405927293	CSM5MCW4
smNRPS-CB	4.978973927670311	0.02784477910656695	CSM5MCWA
smNRPS-CC	96.37446808510639	1.221654523541729	CSM5MCWI
smNRPS-CB	95.67703952901599	2.5369555516537976	CSM5MCWI
smNRPS-CB	6.947014297729185	0.027534174377753746	CSM5MCWK
smNRPS-CC	3.4382978723404256	0.008763064505086512	CSM5MCWM
smNRPS-CB	1.698906644238856	0.004329941460671426	CSM5MCWM
smNRPS-CC	6.553191489361702	0.06527869965178447	CSM5MCXB
smNRPS-CB	6.711522287636669	0.0430067126946155	CSM5MCXB
smNRPS-CB	26.963835155592935	0.2376414377560757	CSM5MCXX
smNRPS-CB	7.132043734230447	0.050087239850707885	CSM5MCXZ
smNRPS-CC	3.421276595744681	0.019294462361355888	CSM5MCYI
smNRPS-CB	3.9529015979814974	0.03813455555019877	CSM5MCYI
smNRPS-CC	5.259574468085106	0.033065484010413954	CSM5MCYM
smNRPS-CB	12.48107653490328	0.07842276274967817	CSM5MCYM
